batteryHealth;binId;binStatus;currentFillLevel;latLong;timesTamp
100;CleanFLEX-FB2000002008AC02;Half Full;46;-33.920227,151.257692;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC03;Half Full;49;-33.918951,151.25847;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC05;Half Full;43;-33.919505,151.257857;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC01;Low;28;-33.919135,151.258104;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC12;Low;16;-33.919727,151.257213;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC17;Low;19;-33.91947,151.257542;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB68;Low;29;-33.919477,151.257681;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB63;Low;7;-33.919505,151.257857;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB67;Low;9;-33.920816,151.257022;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC18;Half Full;44;-33.919555,151.258164;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC15;Half Full;50;-33.920358,151.257167;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC14;Low;19;-33.920358,151.257167;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC16;Low;17;-33.919477,151.257681;2021-09-22 00:00:04
95;CleanFLEX-FB2000002008AC08;Low;17;-33.919477,151.257681;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB65;Low;9;-33.920944,151.257001;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB62;Low;1;-33.91947,151.257542;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB69;Half Full;32;-33.920227,151.257692;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB70;Low;13;-33.919555,151.258164;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB71;Low;23;-33.922367,151.256956;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC07;Half Full;43;-33.919555,151.258164;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC10;Half Full;38;-33.920227,151.257692;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC00;Half Full;56;-33.918951,151.25847;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC04;Half Full;46;-33.919505,151.257857;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC09;Half Full;32;-33.919135,151.258104;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC19;Half Full;36;-33.920289,151.257056;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC06;Full;88;-33.91947,151.257542;2021-09-22 00:00:04
100;CleanFLEX-FB2000002008AC13;Low;26;-33.920034,151.257165;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB64;Low;17;-33.920816,151.257022;2021-09-22 00:00:04
95;CleanFLEX-FB2000002005AB66;Low;10;-33.920944,151.257001;2021-09-22 00:00:04
95;CleanFLEX-FB2000002008AC20;Half Full;30;-33.920372,151.257036;2021-09-22 00:00:04
